"","DATE","brazil","canada","china","denmark","hong kong","india","japan","s korea","malaysia","mexico","norway","sweden","s africa","singapore","sri lanka","switzerland","taiwan","thailand","australia","euro","new zealand","uk","venezuela"
"7306",1999-01-04,1.2074,1.5268,8.2793,6.307,7.7465,42.6,112.15,1187.5,3.8,9.831,7.496,8.02,5.8675,1.6583,68.43,1.3666,32.13,36.2,1.61759948236817,0.846596681341009,1.87265917602996,0.603099933659007,0.5655
"7307",1999-01-05,1.2075,1.5213,8.2795,6.326,7.7475,42.56,111.15,1166,3.8,9.796,7.434,7.972,5.7625,1.671,68.41,1.3694,32.25,36.18,1.60849284220685,0.850340136054422,1.86219739292365,0.603646021972715,0.566
"7308",1999-01-06,1.211,1.511,8.2795,6.364,7.7482,42.55,112.78,1160,3.8,9.78,7.4355,7.936,5.6775,1.6775,68.41,1.3852,32.25,36.5,1.59108989657916,0.85940185630801,1.85701021355617,0.604339155133861,0.5658
"7309",1999-01-07,1.21,1.5117,8.2798,6.383,7.7478,42.55,111.69,1151,3.8,9.83,7.405,7.915,5.84,1.6713,68.51,1.3863,32.13,36.3,1.57728706624606,0.856751199451679,1.85013876040703,0.606244316459533,0.5665
"7310",1999-01-08,1.2095,1.5145,8.2796,6.4435,7.749,42.55,111.52,1174,3.8,9.8105,7.397,7.9285,5.835,1.6765,68.48,1.397,32.22,36.45,1.58077774264938,0.865501125151463,1.85185185185185,0.609570252971655,0.5671
"7311",1999-01-11,1.2099,1.5072,8.2797,6.452,7.7483,42.55,108.83,1175,3.8,9.956,7.42,7.851,5.98,1.672,68.57,1.3963,32.2,36.28,1.56372165754496,0.867001907404196,1.82882223847842,0.610687022900763,0.5673
"7312",1999-01-12,1.2108,1.5095,8.2795,6.4465,7.7495,42.55,112.07,1180,3.8,10.1,7.4218,7.8,6.033,1.68,68.67,1.389,32.26,36.46,1.56225589751601,0.865950813993765,1.82681768359518,0.613195977434388,0.5678
"7313",1999-01-13,1.321,1.53,8.2794,6.365,7.7457,42.53,113.46,1175,3.8,10.6,7.4725,7.807,6.125,1.687,68.64,1.3585,32.23,37.05,1.58478605388273,0.854846982390152,1.84842883548983,0.606317831807433,0.5685
"7314",1999-01-14,1.32,1.5285,8.279,6.3685,7.7482,42.55,113.25,1187.5,3.8,10.53,7.472,7.805,6.24,1.6765,68.25,1.3618,32.33,37.05,1.58353127474268,0.855505175806314,1.85528756957328,0.604960677555959,0.5693
"7315",1999-01-15,1.48,1.529,8.279,6.422,7.7485,42.5,114.19,1185,3.8,10.29,7.485,7.874,6.08,1.68,68.55,1.3785,32.26,36.55,1.57728706624606,0.862738331464067,1.85013876040703,0.606060606060606,0.5707
"7317",1999-01-19,1.6,1.5302,8.2787,6.415,7.749,42.55,113.76,1176.5,3.8,10.27,7.4429,7.757,6.055,1.6832,68.6,1.3752,32.4,36.45,1.56617071260767,0.861326442721791,1.86462800671266,0.604229607250755,0.5708
"7318",1999-01-20,1.58,1.5226,8.2791,6.432,7.749,42.55,113.45,1168,3.8,10.195,7.4235,7.722,6.025,1.679,68.58,1.3902,32.3,36.5,1.56298843388559,0.863930885529158,1.85185185185185,0.607275156373353,0.5703
"7319",1999-01-21,1.71,1.5155,8.2789,6.4165,7.7483,42.54,113.75,1174,3.8,10.29,7.4435,7.7355,6.07,1.67,68.75,1.3855,32.31,36.47,1.56347717323327,0.863781636002419,1.84604024367731,0.605473480261565,0.5713
"7320",1999-01-22,1.7,1.519,8.2787,6.416,7.7502,42.55,114.65,1181,3.8,10.2025,7.465,7.73,6.045,1.6798,68.69,1.3829,32.35,36.9,1.5752993068683,0.863408737696426,1.86393289841566,0.603864734299517,0.5725
"7321",1999-01-25,1.79,1.5153,8.2784,6.43,7.7502,42.55,113.8,1181,3.8,10.23,7.45,7.7225,6.0525,1.6875,68.9,1.3823,32.5,36.9,1.58503724837534,0.864603147155456,1.8723085564501,0.603755358328805,0.5725
"7322",1999-01-26,1.86,1.52,8.278,6.4265,7.7497,42.52,114.03,1177,3.8,10.22,7.444,7.706,6.04,1.6835,68.74,1.387,32.5,36.75,1.58604282315623,0.863781636002419,1.86671644577189,0.602954476936991,0.573
"7323",1999-01-27,1.89,1.5215,8.2778,6.483,7.7492,42.52,115.62,1176,3.8,10.17,7.465,7.7155,6.025,1.689,68.8,1.4012,32.36,36.9,1.59413358839471,0.871004267920913,1.86567164179104,0.606612071580224,0.5735
"7324",1999-01-28,1.94,1.5263,8.2778,6.5295,7.7495,42.55,116.36,1176.5,3.8,10.1775,7.515,7.7725,6.045,1.6892,68.88,1.4165,32.38,37,1.59795461808885,0.877577885037297,1.87195806813927,0.607164541590771,0.5742
"7325",1999-01-29,2.07,1.5095,8.2778,6.542,7.7485,42.54,116,1176,3.8,10.152,7.523,7.787,6.07,1.6925,69.1,1.4168,32.34,36.92,1.58805780530411,0.879430129276229,1.85632077222944,0.607644163577809,0.5738
"7326",1999-02-01,1.97,1.5085,8.2775,6.575,7.7489,42.55,115.09,1176,3.8,10.12,7.556,7.833,6.041,1.691,68.93,1.4232,32.3,36.85,1.57828282828283,0.884720870565337,1.84162062615101,0.60938452163315,0.5761
"7327",1999-02-02,1.81,1.5124,8.2775,6.559,7.7497,42.54,112.12,1171,3.8,10.095,7.585,7.837,6.01,1.685,68.71,1.4111,32.34,36.75,1.56225589751601,0.882768361581921,1.8348623853211,0.608642726719416,0.5766
"7328",1999-02-03,1.8,1.5135,8.2776,6.555,7.7492,42.5,112.46,1171.5,3.8,10.125,7.615,7.865,6.015,1.6865,68.8,1.4135,32.3,36.7,1.55884645362432,0.881911985183879,1.81818181818182,0.610687022900763,0.577
"7329",1999-02-04,1.825,1.493,8.2776,6.573,7.7495,42.52,112.03,1171.6,3.8,10.115,7.643,7.843,6.05,1.6868,68.8,1.417,32.4,36.85,1.54083204930663,0.884486113568017,1.806684733514,0.609942055504727,0.5768
"7330",1999-02-05,1.85,1.488,8.2776,6.594,7.7498,42.5,113.14,1171.2,3.8,10.09,7.661,7.855,5.975,1.6885,68.83,1.4173,32.3,36.82,1.53444836581249,0.886289107506869,1.81554103122731,0.610873549175321,0.577
"7331",1999-02-08,1.89,1.4875,8.2776,6.583,7.7495,42.5,114.38,1177,3.8,10.0925,7.638,7.862,5.965,1.6905,68.97,1.4175,32.29,37,1.53374233128834,0.885269121813031,1.78667143112382,0.610500610500611,0.577
"7332",1999-02-09,1.91,1.4935,8.2776,6.5795,7.7495,42.5,114.42,1177,3.8,10.08,7.65,7.8845,6.1,1.693,68.6,1.4183,32.32,37.13,1.5460729746444,0.884955752212389,1.80310133429499,0.61143381228982,0.5775
"7333",1999-02-10,1.91,1.4943,8.2776,6.5625,7.749,42.45,114.45,1179,3.8,10.063,7.64,7.885,6.0895,1.6915,68.6,1.4083,32.31,37.1,1.54966682163335,0.8825346394846,1.81488203266788,0.613873542050338,0.5783
"7334",1999-02-11,1.9,1.4889,8.2776,6.579,7.7495,42.51,114.7,1176.4,3.8,10.002,7.6305,7.89,6.07,1.689,69,1.4154,32.36,37.05,1.53964588144727,0.884720870565337,1.81455271275631,0.615611918246737,0.5784
"7335",1999-02-12,1.9,1.4925,8.2776,6.5915,7.75,42.6,114.32,1176.7,3.7997,9.95,7.6215,7.883,6.1055,1.6913,69.12,1.4157,32.35,36.95,1.54726907009129,0.886367665307569,1.82049881667577,0.613083195389614,0.5781
"7337",1999-02-16,1.91,1.5,8.2787,6.6425,7.7482,42.51,118.08,1176,3.8,9.9225,7.737,7.933,6.135,1.6965,69,1.429,32.38,36.9,1.56739811912226,0.893734918223255,1.85804533630621,0.612857755714899,0.578
"7338",1999-02-17,1.93,1.4995,8.2787,6.623,7.7482,42.5,119.03,1176,3.8,9.884,7.75,7.93,6.16,1.6985,69.2,1.4247,32.4,37.05,1.57828282828283,0.890471950133571,1.86115764005211,0.612070020810381,0.578
"7339",1999-02-18,1.91,1.4873,8.2787,6.625,7.7488,42.51,119.82,1183,3.8,9.885,7.796,7.966,6.18,1.7018,69.22,1.425,32.4,37.1,1.5748031496063,0.891027354539784,1.85597624350408,0.612070020810381,0.5776
"7340",1999-02-19,1.94,1.4905,8.2787,6.71,7.749,42.47,121,1206,3.8,9.935,7.833,8.02,6.26,1.7085,69.31,1.4462,32.5,37.65,1.56862745098039,0.90293453724605,1.84774575018477,0.615195324515534,0.5778
"7341",1999-02-22,1.96,1.4972,8.2787,6.742,7.7486,42.43,120.35,1218,3.8,9.93,7.844,8.073,6.2,1.7125,69.39,1.4483,33.2,37.7,1.5625,0.906043308870164,1.8450184501845,0.615839389087326,0.5775
"7342",1999-02-23,2.04,1.4975,8.2787,6.76,7.7477,42.48,121.45,1213,3.8,9.95,7.87,8.1,6.2225,1.722,69.28,1.4495,33.1,37.56,1.56445556946183,0.909669789866279,1.86115764005211,0.619655471557814,0.5784
"7343",1999-02-24,2.01,1.499,8.2787,6.782,7.7491,42.6,121.9,1219,3.8,9.938,7.913,8.145,6.2045,1.7285,69.46,1.452,33.2,37.65,1.58353127474268,0.911410864017499,1.88323917137476,0.625782227784731,0.577
"7344",1999-02-25,2.04,1.505,8.2789,6.7195,7.7487,42.6,119.26,1225,3.8,9.995,7.8625,8.115,6.19,1.7235,69.54,1.4345,33.14,37.47,1.59438775510204,0.903505601734731,1.89825360668185,0.62266500622665,0.577
"7345",1999-02-26,2.09,1.509,8.279,6.765,7.748,42.83,118.7,1224.5,3.8,9.9365,7.9105,8.1915,6.205,1.7231,69.56,1.4495,33.13,37.32,1.6116035455278,0.909504320145521,1.9047619047619,0.623947089286829,0.5753
"7346",1999-03-01,2.05,1.524,8.2792,6.82,7.7474,42.54,119.79,1222,3.8,9.915,7.95,8.255,6.2325,1.7262,69.56,1.462,33.05,37.39,1.61838485191779,0.918189330639978,1.90949016612564,0.622742558226429,0.5758
