spot,EuroCall,AmerCall,EuroPut,AmerPut
50,0.000710735,0.000634596,42.7751,50
51,0.00111416,0.00101603,41.7755,49
52,0.00171258,0.00159056,40.7761,48
53,0.00258377,0.00243346,39.7769,47
54,0.00382974,0.00363781,38.7782,46
55,0.00558183,0.00531171,37.7799,45
56,0.0080064,0.0075712,36.7824,44
57,0.0113107,0.0107898,35.7857,43
58,0.0157488,0.015232,34.7901,42
59,0.0216279,0.0210345,33.796,41
60,0.0293136,0.0283987,32.8037,40
61,0.0392356,0.0380076,31.8136,39
62,0.0518917,0.0508819,30.8262,38
63,0.0678514,0.0666983,29.8422,37
64,0.0877583,0.0855681,28.8621,36
65,0.112331,0.110635,27.8867,35
66,0.142361,0.140881,26.9167,34
67,0.178714,0.175829,25.9531,33
68,0.222321,0.219992,24.9967,32
69,0.274175,0.272387,24.0485,31
70,0.335327,0.331004,23.1097,30
71,0.406869,0.404522,22.1812,29
72,0.489933,0.487646,21.2643,28
73,0.585674,0.580551,20.36,27
74,0.695257,0.693589,19.4696,26
75,0.81985,0.815411,18.5942,25
76,0.960607,0.957885,17.735,24
77,1.11865,1.11666,16.893,23
78,1.29508,1.28964,16.0694,22
79,1.49092,1.49029,15.2653,21
80,1.70716,1.69904,14.4815,20
81,1.94468,1.94446,13.719,19
82,2.20432,2.19939,12.9787,18
83,2.4868,2.48635,12.2612,17
84,2.79276,2.79024,11.5671,16
85,3.12272,3.12178,10.8971,15
86,3.47712,3.47635,10.2515,14
87,3.85627,3.85499,9.63061,13
88,4.26038,4.26082,9.03473,12.0598
89,4.68958,4.68841,8.46392,11.1787
90,5.14384,5.14496,7.91819,10.3532
91,5.62309,5.62265,7.39744,9.58051
92,6.12713,6.12838,6.90148,8.85723
93,6.65567,6.6565,6.43002,8.18173
94,7.20834,7.20902,5.98269,7.54946
95,7.7847,7.78713,5.55905,6.96157
96,8.38423,8.38345,5.15858,6.41012
97,9.00634,9.0103,4.78069,5.90125
98,9.65041,9.64704,4.42476,5.42148
99,10.3158,10.3207,4.0901,4.98355
100,11.0016,10.9943,3.77598,4.56768
101,11.7073,11.7122,3.48165,4.19229
102,12.432,12.43,3.20632,3.83699
103,13.1748,13.1782,2.94919,3.51244
104,13.9351,13.9372,2.70946,3.21101
105,14.7119,14.7121,2.48629,2.93037
106,15.5045,15.5087,2.27887,2.67671
107,16.312,16.3073,2.08638,2.43465
108,17.1337,17.1378,1.90802,2.22206
109,17.9686,17.9682,1.74299,2.01984
110,18.8162,18.8179,1.59052,1.83649
111,19.6755,19.6784,1.44986,1.66946
112,20.5459,20.5433,1.32026,1.51092
113,21.4267,21.4299,1.20102,1.37369
114,22.3171,22.3165,1.09145,1.2425
115,23.2166,23.2176,0.990911,1.12479
116,24.1244,24.1267,0.898765,1.01864
117,25.0401,25.0369,0.814419,0.916593
118,25.963,25.965,0.737307,0.830743
119,26.8925,26.8931,0.666892,0.748932
120,27.8283,27.8277,0.602667,0.673681
121,28.7698,28.7716,0.544154,0.608793
122,29.7166,29.7155,0.490904,0.546213
123,30.6681,30.6685,0.442497,0.49172
124,31.6242,31.6253,0.398538,0.442822
125,32.5843,32.5822,0.35866,0.395397
126,33.5482,33.5488,0.322521,0.356392
127,34.5155,34.516,0.289801,0.319866
128,35.4859,35.4842,0.260207,0.284818
129,36.4591,36.4597,0.233465,0.256594
130,37.435,37.4351,0.209322,0.22959
131,38.4132,38.412,0.187545,0.204113
132,39.3936,39.3939,0.167919,0.183593
133,40.3759,40.3759,0.150246,0.163847
134,41.36,41.3591,0.134347,0.145389
135,42.3457,42.3459,0.120053,0.13059
136,43.3329,43.3328,0.107214,0.116323
137,44.3213,44.3205,0.0956895,0.102933
138,45.311,45.3111,0.0853536,0.0923696
139,46.3017,46.3017,0.0760901,0.0821893
140,47.2934,47.2926,0.0677938,0.0724618
141,48.286,48.286,0.0603688,0.0649799
142,49.2794,49.2793,0.0537281,0.0578059
143,50.2734,50.2727,0.0477929,0.0507741
144,51.2681,51.268,0.0424917,0.0454652
145,52.2634,52.2634,0.0377596,0.0404711
146,53.2592,53.2587,0.0335382,0.0355805
147,54.2554,54.2552,0.0297746,0.0316317
148,55.2521,55.252,0.0264212,0.0281978
149,56.2491,56.2488,0.0234348,0.0248431
150,57.2464,57.2461,0.0207769,0.0218809
