Date,Location,Home Team,Away Team
09/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Royal Challengers Bangalore
10/04/2021 19:30,"Wankhede Stadium, Mumbai",Chennai Super Kings,Delhi Capitals
11/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders
12/04/2021 19:30,"Wankhede Stadium, Mumbai",Rajasthan Royals,Punjab Kings
13/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Kolkata Knight Riders,Mumbai Indians
14/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Royal Challengers Bangalore
15/04/2021 19:30,"Wankhede Stadium, Mumbai",Rajasthan Royals,Delhi Capitals
16/04/2021 19:30,"Wankhede Stadium, Mumbai",Punjab Kings,Chennai Super Kings
17/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Mumbai Indians,Sunrisers Hyderabad
18/04/2021 15:30,"M. A. Chidambaram Stadium, Chennai",Royal Challengers Bangalore,Kolkata Knight Riders
18/04/2021 19:30,"Wankhede Stadium, Mumbai",Delhi Capitals,Punjab Kings
19/04/2021 19:30,"Wankhede Stadium, Mumbai",Chennai Super Kings,Rajasthan Royals
20/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Delhi Capitals,Mumbai Indians
21/04/2021 15:30,"M. A. Chidambaram Stadium, Chennai",Punjab Kings,Sunrisers Hyderabad
21/04/2021 19:30,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Chennai Super Kings
22/04/2021 19:30,"Wankhede Stadium, Mumbai",Royal Challengers Bangalore,Rajasthan Royals
23/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Punjab Kings,Mumbai Indians
24/04/2021 19:30,"Wankhede Stadium, Mumbai",Rajasthan Royals,Kolkata Knight Riders
25/04/2021 15:30,"Wankhede Stadium, Mumbai",Chennai Super Kings,Royal Challengers Bangalore
25/04/2021 19:30,"M. A. Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Delhi Capitals
26/04/2021 19:30,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Kolkata Knight Riders
27/04/2021 19:30,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Royal Challengers Bangalore
28/04/2021 19:30,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Sunrisers Hyderabad
29/04/2021 15:30,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Rajasthan Royals
29/04/2021 19:30,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Kolkata Knight Riders
30/04/2021 19:30,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Royal Challengers Bangalore
01/05/2021 19:30,"Arun Jaitley Stadium, Delhi",Mumbai Indians,Chennai Super Kings
02/05/2021 15:30,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Sunrisers Hyderabad
02/05/2021 19:30,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Delhi Capitals
03/05/2021 19:30,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Royal Challengers Bangalore
04/05/2021 19:30,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Mumbai Indians
05/05/2021 19:30,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Chennai Super Kings
06/05/2021 19:30,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bangalore,Punjab Kings
07/05/2021 19:30,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Chennai Super Kings
08/05/2021 15:30,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Delhi Capitals
08/05/2021 19:30,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Mumbai Indians
09/05/2021 15:30,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Punjab Kings
09/05/2021 19:30,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Sunrisers Hyderabad
10/05/2021 19:30,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Kolkata Knight Riders
11/05/2021 19:30,"Eden Gardens, Kolkata",Delhi Capitals,Rajasthan Royals
12/05/2021 19:30,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Kolkata Knight Riders
13/05/2021 15:30,"M. Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Punjab Kings
13/05/2021 19:30,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Rajasthan Royals
14/05/2021 19:30,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Delhi Capitals
15/05/2021 19:30,"M. Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Punjab Kings
16/05/2021 15:30,"Eden Gardens, Kolkata",Rajasthan Royals,Royal Challengers Bangalore
16/05/2021 19:30,"M. Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Mumbai Indians
17/05/2021 19:30,"Eden Gardens, Kolkata",Delhi Capitals,Sunrisers Hyderabad
18/05/2021 19:30,"M. Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Rajasthan Royals
19/05/2021 19:30,"M. Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Punjab Kings
20/05/2021 19:30,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Mumbai Indians
21/05/2021 15:30,"M. Chinnaswamy Stadium, Bengaluru",Kolkata Knight Riders,Sunrisers Hyderabad
21/05/2021 19:30,"Eden Gardens, Kolkata",Delhi Capitals,Chennai Super Kings
22/05/2021 19:30,"M. Chinnaswamy Stadium, Bengaluru",Punjab Kings,Rajasthan Royals
23/05/2021 15:30,"Eden Gardens, Kolkata",Mumbai Indians,Delhi Capitals
23/05/2021 19:30,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Chennai Super Kings
