Team,Team2,Venue
Mumbai indians,Chennai super kings,Abu dhabi
Delhi capitals,Kings xi punjab,Dubai
Sunrisers hyderabad,Royal challengers bangalore,Dubai
Rajasthan royals,Chennai super kings,Sharjah
Kolkata knight riders,Mumbai indians,Abu dhabi
Kings xi punjab,Royal challengers bangalore,Dubai
Chennai super kings,Delhi capitals,Dubai
Kolkata knight riders,Sunrisers hyderabad,Sharjah
Rajasthan royals,Kings xi punjab,Sharjah
Royal challengers bangalore,Mumbai indians,Dubai
Delhi capitals,Sunrisers hyderabad,Abu dhabi
Rajasthan royals,Kolkata knight riders,Dubai
Kings xi punjab,Mumbai indians,Abu dhabi
Chennai super kings,Sunrisers hyderabad,Dubai
Royal challengers bangalore,Rajasthan royals,Abu dhabi
Delhi capitals,Kolkata knight riders,Sharjah
Mumbai indians,Sunrisers hyderabad,Sharjah
Royal challengers bangalore,Delhi capitals,Dubai
Mumbai indians,Rajasthan royals,Abu dhabi
Kolkata knight riders,Chennai super kings,Abu dhabi
Sunrisers hyderabad,Kings xi punjab,Dubai
Rajasthan royals,Delhi capitals,Sharjah
Kings xi punjab,Kolkata knight riders,Abu dhabi
Chennai super kings,Royal challengers bangalore,Dubai
Sunrisers hyderabad,Rajasthan royals,Dubai
Mumbai indians,Delhi capitals,Abu dhabi
Royal challengers bangalore,Kolkata knight riders,Sharjah
Sunrisers hyderabad,Chennai super kings,Dubai
Delhi capitals,Rajasthan royals,Dubai
Royal challengers,Kings xi punjab,Sharjah
Mumbai indians,Kolkata knight riders,Abu dhabi
Rajasthan royals,Royal challengers bangalore,Dubai
Delhi capitals,Chennai super kings,Sharjah
Sunrisers hyderabad,Kolkata knight riders,Abu dhabi
Mumbai indians,Kings xi punjab,Dubai
Chennai super kings,Rajasthan royals,Abu dhabi
Kings xi punjab,Delhi capitals,Dubai
Kolkata knight riders,Royal challengers bangalore,Abu dhabi
Rajasthan royals,Sunrisers hyderabad,Dubai
Chennai super kings,Mumbai indians,Sharjah
Kolkata knight riders,Delhi capitals,Abu dhabi
Kings xi punjab,Sunrisers hyderabad,Dubai
Royal challengers bangalore,Chennai super kings,Dubai
Rajasthan royals,Mumbai indians,Abu dhabi
Kolkata knight riders,Kings xi punjab,Sharjah
Sunrisers hyderabad,Delhi capitals,Dubai
Mumbai indians,Royal challengers bangalore,Abu dhabi
Chennai super kings,Kolkata knight riders,Dubai
Kings xi punjab,Rajasthan royals,Abu dhabi
Delhi capitals,Mumbai indians,Dubai
Royal challengers bangalore,Sunrisers hyderabad,Sharjah
Chennai super kings,Kings xi punjab,Abu dhabi
Kolkata knight riders,Rajasthan royals,Dubai
Delhi capitals,Royal challengers bangalore,Abu dhabi
Sunrisers hyderabad,Mumbai indians,Sharjah
