Date,Zero Rate,Forward Rate
03/04/2019,0,2.61513
06/04/2019,2.682176792,2.592483943
09/04/2019,2.670524786,2.607772502
12/04/2019,2.662162279,2.632146082
03/04/2020,2.664183156,2.578889455
06/04/2020,2.660323385,2.522047943
09/04/2020,2.648001225,2.487821546
12/04/2020,2.630192563,2.459395383
03/04/2021,2.609780819,2.467129266
06/04/2021,2.600904136,2.446780253
09/07/2021,2.591225432,2.42624915
12/06/2021,2.579551535,2.409905547
03/04/2022,2.566093981,2.484115045
06/06/2022,2.564515813,2.478240563
09/06/2022,2.562862553,2.472552133
12/05/2022,2.559259789,2.467048459
03/06/2023,2.553914335,2.565858537
06/05/2023,2.558458232,2.57112504
09/05/2023,2.562812392,2.576118484
12/04/2023,2.565451253,2.580917512
03/04/2024,2.568083708,2.673979675
06/04/2024,2.5763973,2.685707749
09/04/2024,2.584503634,2.696911891
12/04/2024,2.591095568,2.707642611
03/04/2025,2.596331978,2.751445877
06/04/2025,2.605372954,2.763947951
09/04/2025,2.614213302,2.77588207
12/04/2025,2.621704479,2.787301917
03/04/2026,2.627962896,2.854132636
06/04/2026,2.638308431,2.868116501
09/04/2026,2.648444033,2.881459015
12/04/2026,2.657329851,2.894216332
03/04/2027,2.665055194,2.928246565
06/04/2027,2.675333621,2.942008707
09/07/2027,2.685674381,2.954394282
12/06/2027,2.69450578,2.966405491
03/06/2028,2.703274412,3.009486789
06/05/2028,2.713567844,3.021968934
09/05/2028,2.723752344,3.033933806
12/04/2028,2.73277071,3.04538483
03/05/2029,2.740954023,3.023483781
06/04/2029,2.74968643,3.033094046
09/04/2029,2.758317609,3.042232974
12/04/2029,2.76597538,3.05088489
03/04/2030,2.772710213,3.070507659
06/04/2030,2.781110233,3.078987326
09/04/2030,2.789334935,3.086907811
12/04/2030,2.796649061,3.094371531
03/04/2031,2.803096146,3.018975693
06/04/2031,2.809109674,3.023875356
09/04/2031,2.81498363,3.028334326
12/04/2031,2.820053373,3.032616028
03/04/2032,2.825012034,3.036774079
06/04/2032,2.830504231,3.0409977
09/07/2032,2.835999503,3.0440316
12/06/2032,2.840562838,3.047207602
